from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,SEQ,append,4
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,SEQ,delete,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat(invert(invert('0')))))),-23.765468,12,SEQ,cut,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,4,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,8,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,SEQ,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,SEQ,0,3
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,SEQ,from_seq,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,SEQ,invert,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,SEQ,repeat,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,SEQ,append,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,SEQ,delete,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(cut(repeat(invert(append('0' '0'))) 4 8) repeat('0')),-23.851447,11,SEQ,cut,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,4,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,INT,30,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,SEQ,1,4
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,SEQ,from_seq,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,SEQ,invert,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,SEQ,repeat,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,SEQ,append,4
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,SEQ,delete,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 30) repeat('0')))),-23.912071,12,SEQ,cut,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,4,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,9,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(delete('1' 9) repeat('0')))),-23.912071,12,SEQ,1,4
